Name,Start,End,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid,Used
Dick Groat,,,1929,8179,39,829,707,14,6.0 %,6.3 %,0.081,0.301,0.286,0.33,0.366,0.312,90,-4.2,-107.9,159.9,33.2,1005075,N
Greg Gross,,,1809,4355,7,449,308,39,12.0 %,5.7 %,0.065,0.302,0.287,0.372,0.351,0.332,105,-9,18.3,-34.7,13,1005086,N
Jerry Grote,,,1421,4844,39,352,404,15,8.2 %,12.4 %,0.074,0.282,0.252,0.316,0.326,0.291,83,-4.2,-101.8,93.3,16.3,1005092,N
Johnny Grubb,,,1424,4823,99,553,475,27,11.7 %,11.6 %,0.135,0.298,0.278,0.366,0.413,0.353,121,-7.1,111.1,-117.2,16.3,1005103,N
Kelly Gruber,,,939,3442,117,431,443,80,5.7 %,14.6 %,0.173,0.272,0.259,0.307,0.432,0.327,102,1.9,7.3,20.6,14.7,1005107,N
Ozzie Guillen,,,1993,7133,28,773,619,169,3.4 %,7.2 %,0.074,0.28,0.264,0.287,0.338,0.278,66,-11.4,-311.9,203.3,13.1,1005125,N
Tom Haller,,,1294,4519,134,461,504,14,10.6 %,13.1 %,0.157,0.27,0.257,0.34,0.414,0.333,113,-7.1,57.5,63.7,30,1005244,N
Jimmie Hall,,,963,3169,121,387,391,38,9.1 %,16.7 %,0.179,0.272,0.254,0.321,0.434,0.333,111,1.7,42.2,-1.4,13.9,1005253,N
Darryl Hamilton,,,1328,5177,51,707,454,163,9.5 %,9.5 %,0.094,0.316,0.291,0.36,0.385,0.336,98,1.7,-11.5,-16.4,14.2,1005272,N
Granny Hamner,,,1528,6291,104,711,708,35,5.6 %,6.9 %,0.121,0.268,0.262,0.303,0.383,0.312,82,3.7,-136.6,88,15.2,1005286,N
Grady Hatton,,,1312,4912,91,562,533,42,13.2 %,8.8 %,0.12,0.265,0.254,0.354,0.374,0.344,99,5.8,-4.6,-1.6,15.7,1005496,N
Frankie Hayes,,,842,3214,62,316,355,19,11.7 %,11.9 %,0.124,0.274,0.253,0.342,0.377,0.342,100,-1.8,1.9,22,13.6,1005526,N
Woodie Held,,,1390,4645,179,524,559,14,10.9 %,20.3 %,0.182,0.268,0.24,0.331,0.421,0.334,107,0,43.5,46.7,23.4,1005609,N
Tom Herr,,,1514,6116,28,676,574,188,10.3 %,9.5 %,0.079,0.297,0.271,0.347,0.35,0.317,97,10.7,-7.9,24.8,22.9,1005737,N
Pinky Higgins,,,789,3274,54,375,424,18,11.2 %,5.9 %,0.121,0.286,0.28,0.365,0.401,0.363,108,-7.8,21.2,-15,12.5,1005793,N
Glenallen Hill,,,1162,4033,186,528,586,96,6.7 %,21.0 %,0.212,0.302,0.271,0.321,0.482,0.348,110,3,57.7,-79.7,10.6,1005820,N
Tommy Holmes,,,1320,5565,88,698,581,40,8.6 %,2.2 %,0.13,0.297,0.302,0.366,0.432,0.375,122,5.5,149.2,0.5,33.8,1005980,N
Johnny Hopp,,,1387,4799,46,697,456,128,9.6 %,7.9 %,0.118,0.317,0.296,0.368,0.414,0.367,114,23.2,105.1,-29.7,23.3,1006022,N
Ron Hunt,,,1483,6158,39,745,370,65,9.0 %,6.2 %,0.074,0.287,0.273,0.368,0.347,0.332,109,-5.2,56.4,-7.8,28.3,1006212,N
Pete Incaviglia,,,1284,4677,206,546,655,33,7.7 %,27.3 %,0.202,0.3,0.246,0.31,0.448,0.333,104,-4.6,14.2,-69.7,10.2,1006257,N
Randy Jackson,,,955,3548,103,412,415,36,7.9 %,10.8 %,0.16,0.268,0.261,0.32,0.421,0.334,93,3.2,-27.3,34.2,11.8,1006307,N
Brook Jacoby,,,1311,5027,120,535,545,16,8.7 %,15.2 %,0.135,0.299,0.27,0.334,0.405,0.33,103,-8.4,10.1,-14,16.4,1006318,N
Stan Javier,,,1763,5755,57,781,503,246,10.0 %,14.6 %,0.094,0.311,0.269,0.345,0.363,0.32,95,26.5,-5.7,10.9,19.4,1006372,N
Davey Johnson,,,1435,5465,136,564,609,33,10.2 %,12.4 %,0.143,0.277,0.261,0.34,0.404,0.336,112,-0.9,71.9,34.4,28.9,1006440,N
Jay Johnstone,,,1748,5229,102,578,531,50,8.2 %,12.1 %,0.127,0.288,0.267,0.329,0.394,0.324,102,-9.6,4.2,-12.1,16,1006463,N
Mack Jones,,,1002,3584,133,485,415,65,10.7 %,21.1 %,0.192,0.291,0.252,0.347,0.444,0.354,122,-0.9,88.9,-35.6,19.2,1006574,N
Mike Jorgensen,,,1633,4034,95,429,426,58,13.2 %,14.6 %,0.129,0.267,0.243,0.347,0.373,0.33,103,-4.4,8.2,-34.8,10.9,1006622,N
Wally Judnich,,,790,3207,90,424,420,20,12.0 %,9.3 %,0.172,0.289,0.281,0.369,0.452,0.382,118,-7.2,65.8,-21,16.1,1006645,N
George Kell,,,1795,7528,78,881,870,51,8.2 %,3.8 %,0.107,0.311,0.306,0.367,0.414,0.362,111,-3.1,101.2,25.4,38.2,1006783,N
Bobby Knoop,,,1153,4004,56,337,331,16,7.6 %,20.8 %,0.098,0.29,0.236,0.296,0.334,0.283,82,-2,-85.4,91.5,12.4,1007049,N
Harvey Kuenn,,,1833,7618,87,951,671,68,7.8 %,5.3 %,0.105,0.31,0.303,0.357,0.408,0.343,108,-4.4,72.9,-54.8,27.5,1007200,N
Eddie Lake,,,833,3194,39,442,193,52,17.1 %,9.8 %,0.093,0.25,0.231,0.366,0.323,0.34,98,-8.8,-18.5,28.4,12.1,1007260,N
Jim Landis,,,1346,5025,93,625,467,139,11.7 %,15.3 %,0.128,0.28,0.247,0.344,0.375,0.326,103,9.7,28,33.6,21.5,1007296,N
Carney Lansford,,,1862,7905,151,1007,874,224,7.0 %,9.1 %,0.121,0.302,0.29,0.343,0.411,0.337,111,2.4,105.9,-42,33.9,1007331,N
Mike LaValliere,,,879,2871,18,185,294,5,11.2 %,8.5 %,0.07,0.288,0.268,0.351,0.338,0.31,94,-5.9,-28.4,91,16.1,1007387,N
Vance Law,,,1212,4298,71,453,442,34,9.5 %,14.0 %,0.12,0.285,0.256,0.326,0.376,0.317,96,-4.9,-25.9,-1.4,11.6,1007409,N
Ron LeFlore,,,1099,4872,59,731,353,455,7.5 %,18.2 %,0.104,0.347,0.288,0.342,0.392,0.333,104,36.6,61.2,-102.7,12.5,1007478,N
Danny Litwhiler,,,1057,3858,107,428,451,11,7.8 %,9.8 %,0.157,0.291,0.281,0.342,0.438,0.364,117,0.6,76.4,-22.7,17.7,1007670,N
Don Lock,,,921,3116,122,359,373,30,12.0 %,24.9 %,0.179,0.285,0.238,0.331,0.417,0.335,112,-3.8,39.9,-10.9,13.1,1007686,N
Whitey Lockman,,,1666,6590,114,836,563,43,8.4 %,5.8 %,0.111,0.283,0.279,0.342,0.391,0.337,96,0.7,-33.4,-56,11.9,1007694,N
Stan Lopata,,,853,3034,116,375,397,18,13.0 %,16.4 %,0.198,0.271,0.254,0.351,0.452,0.358,114,1,51.6,23.8,17.3,1007749,N
Mike Macfarlane,,,1164,4047,129,458,514,12,7.3 %,17.3 %,0.178,0.276,0.252,0.322,0.43,0.332,99,-4.8,-13.3,32.9,15.7,1007905,N
Shane Mack,,,923,3218,80,436,398,90,8.0 %,15.8 %,0.158,0.338,0.299,0.364,0.456,0.365,122,0.3,84.4,2.4,19.7,1007928,N
