Name,Start,End,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid,Used
Dave Henderson,1981,1994,1538,5677,197,710,708,50,8.2 %,19.5 %,0.178,0.291,0.258,0.32,0.436,0.336,109,-6.2,49.6,18,26.3,1005630,N
Kent Hrbek,1981,1994,1747,7137,293,903,1086,37,11.7 %,11.2 %,0.198,0.282,0.282,0.367,0.481,0.371,126,-4.6,217,-87.1,37.6,1006117,N
Johnny Ray,1981,1989,1353,5664,53,604,594,80,6.2 %,5.8 %,0.101,0.298,0.29,0.333,0.391,0.322,100,-5.1,-2.6,46.3,24,1010727,N
Ryne Sandberg,1981,1997,2164,9282,282,1318,1061,344,8.2 %,13.6 %,0.167,0.304,0.285,0.344,0.452,0.351,115,23.9,178.6,103.9,60.9,1011411,N
Steve Sax,1981,1994,1769,7632,54,913,550,444,7.3 %,7.7 %,0.077,0.299,0.281,0.335,0.358,0.313,97,16.5,-10,-23.8,22.6,1011481,N
Julio Franco,1982,2008,2527,9731,173,1285,1194,281,9.4 %,13.8 %,0.119,0.333,0.298,0.365,0.417,0.348,112,2.1,146.2,-60.6,42,87,N
Greg Brock,1982,1991,1013,3695,110,420,462,41,11.7 %,12.7 %,0.151,0.258,0.248,0.338,0.399,0.327,104,-0.3,19.4,-31.4,11.1,1001455,N
Bill Doran,1982,1993,1453,5922,84,727,497,209,12.0 %,10.1 %,0.107,0.286,0.266,0.354,0.373,0.329,109,2.8,68.4,24.9,29.9,1003406,N
Tony Gwynn,1982,2001,2440,10232,135,1383,1138,319,7.7 %,4.2 %,0.12,0.341,0.338,0.388,0.459,0.37,132,11.3,401.5,-92.2,65,1005166,N
Howard Johnson,1982,1995,1531,5715,228,760,760,231,12.1 %,18.4 %,0.197,0.269,0.249,0.34,0.446,0.344,117,14,122.3,-89.4,23.5,1006462,N
Willie McGee,1982,1999,2201,8188,79,1010,856,352,5.5 %,15.1 %,0.101,0.341,0.295,0.333,0.396,0.323,101,20.1,20.5,-25.1,27.6,1008513,N
Pete O'Brien,1982,1992,1567,6168,169,654,736,24,10.4 %,9.1 %,0.148,0.262,0.261,0.336,0.409,0.33,103,-10.5,9.8,-24.7,18.9,1009700,N
Tony Phillips,1982,1999,2161,9110,160,1300,819,177,14.5 %,16.5 %,0.123,0.309,0.266,0.374,0.389,0.347,112,-13.1,125,32.7,46.6,1010300,N
Don Slaught,1982,1997,1327,4503,77,415,476,18,6.9 %,12.4 %,0.128,0.31,0.283,0.338,0.412,0.333,104,-3.3,17.5,34.6,21.1,1012059,N
Glenn Wilson,1982,1990,1201,4468,98,451,521,27,5.7 %,15.0 %,0.134,0.292,0.265,0.306,0.398,0.312,93,-5.8,-43.7,26,13.1,1014081,N
Sid Bream,1983,1994,1088,3531,90,351,455,50,10.0 %,12.7 %,0.156,0.28,0.264,0.336,0.42,0.333,107,-7,21.9,-8.2,13.3,1001373,N
Greg Gagne,1983,1997,1798,6209,111,712,604,108,5.9 %,18.1 %,0.129,0.297,0.254,0.302,0.382,0.304,83,-19,-150.5,174.1,22.8,1004427,N
Kevin McReynolds,1983,1994,1502,6039,211,727,807,93,8.6 %,11.7 %,0.182,0.269,0.265,0.328,0.447,0.34,115,4.5,106.4,-38.8,27.6,1008690,N
Jose Oquendo,1983,1995,1190,3737,14,339,254,35,12.0 %,10.1 %,0.061,0.284,0.256,0.346,0.317,0.303,88,-7.5,-61.4,82.2,14.7,1009827,N
Randy Ready,1983,1995,777,2488,40,312,239,27,13.1 %,11.1 %,0.127,0.28,0.259,0.359,0.387,0.338,112,-1.6,33.2,-13.9,10.4,1010738,N
Harold Reynolds,1983,1993,1374,5398,21,640,353,250,8.9 %,7.7 %,0.083,0.277,0.258,0.327,0.341,0.305,85,-6.6,-106,50.3,12.5,1010870,N
Dick Schofield,1983,1996,1368,4928,56,505,353,120,9.1 %,13.9 %,0.086,0.26,0.23,0.308,0.316,0.287,76,6.1,-135.6,109.3,13.8,1011602,N
Tim Teufel,1983,1993,1073,3563,86,415,379,23,10.9 %,14.9 %,0.15,0.279,0.254,0.336,0.404,0.331,106,-3.8,22.8,3.5,14.7,1012940,N
Alvin Davis,1984,1991,1206,5010,160,568,683,7,13.7 %,11.1 %,0.17,0.288,0.28,0.38,0.45,0.366,125,-6.8,142.4,-104.8,21.1,1003033,N
Eric Davis,1984,2001,1626,6147,282,938,934,349,12.0 %,22.7 %,0.214,0.311,0.269,0.359,0.482,0.368,126,41.1,234.5,-96.2,34.9,1003048,N
Glenn Davis,1984,1993,1015,4189,190,510,603,28,8.8 %,14.6 %,0.208,0.262,0.259,0.332,0.467,0.348,122,0,103.2,-65.3,18.3,1003052,N
Kevin Mitchell,1984,1998,1223,4696,234,630,760,30,10.5 %,15.3 %,0.236,0.291,0.284,0.36,0.52,0.38,140,-7.5,213.5,-82.6,29.6,1009004,N
Terry Pendleton,1984,1998,1893,7637,140,851,946,127,6.4 %,12.8 %,0.121,0.294,0.27,0.316,0.391,0.312,91,-0.1,-86.6,110.2,28.2,1010157,N
Kirby Puckett,1984,1995,1783,7831,207,1071,1085,134,5.7 %,12.3 %,0.159,0.342,0.318,0.36,0.477,0.366,122,-5.7,204.9,-28.4,44.9,1010557,N
Danny Tartabull,1984,1996,1406,5842,262,756,925,37,13.1 %,23.3 %,0.223,0.322,0.273,0.368,0.496,0.379,133,-6.2,223,-202.8,22.6,1012829,N
Mickey Tettleton,1984,1997,1485,5745,245,711,732,23,16.5 %,22.8 %,0.208,0.278,0.241,0.369,0.449,0.363,122,-8.3,139.7,-56.4,28.5,1012939,N
Dave Valle,1984,1995,970,3147,77,314,350,5,8.2 %,13.1 %,0.135,0.252,0.237,0.314,0.373,0.311,88,-2.5,-48.8,58.3,11.5,1013333,N
Andres Galarraga,1985,2004,2257,8916,399,1195,1425,128,6.5 %,22.5 %,0.211,0.336,0.288,0.347,0.499,0.365,118,-17.7,177.1,-153.1,31.4,1390,N
Jose Canseco,1985,2001,1887,8129,462,1186,1407,200,11.1 %,23.9 %,0.249,0.299,0.266,0.353,0.515,0.375,130,2.7,303.5,-165.4,42.1,1001918,N
Vince Coleman,1985,1997,1371,5970,28,849,346,752,8.0 %,16.1 %,0.081,0.314,0.264,0.324,0.345,0.303,86,77.3,-22.6,-63.5,11.6,1002433,N
Lenny Dykstra,1985,1996,1278,5282,81,802,404,285,12.1 %,9.5 %,0.134,0.304,0.285,0.375,0.419,0.355,122,26.5,163.8,55,40.3,1003619,N
Mike Greenwell,1985,1996,1269,5166,130,657,726,80,8.9 %,7.0 %,0.16,0.305,0.303,0.368,0.463,0.364,120,-2.9,117.9,-38.9,25.7,1005006,N
Darrin Jackson,1985,1998,960,2816,80,311,317,43,4.7 %,17.0 %,0.146,0.286,0.257,0.293,0.403,0.307,86,1.5,-45.5,73.5,12.1,1006296,N
Dan Pasqua,1985,1994,905,3000,117,341,390,7,11.2 %,21.4 %,0.195,0.277,0.244,0.33,0.438,0.34,111,-3.4,36.4,-20.7,11.7,1010044,N
Devon White,1985,2001,1941,8080,208,1125,846,346,6.7 %,18.9 %,0.156,0.305,0.263,0.319,0.419,0.326,98,27.3,4.2,150.6,41.8,1013862,N
Jay Bell,1986,2003,2063,8525,195,1123,860,91,10.0 %,16.9 %,0.15,0.304,0.265,0.343,0.416,0.337,103,-7.3,23.7,74.5,37.9,48,N
Fred McGriff,1986,2004,2460,10174,493,1349,1550,72,12.8 %,18.5 %,0.225,0.309,0.284,0.377,0.509,0.383,134,-8.6,409.1,-186.3,56.9,293,N
Barry Larkin,1986,2004,2180,9057,198,1329,960,379,10.4 %,9.0 %,0.15,0.306,0.295,0.371,0.444,0.36,118,43.4,240.8,132.5,67,335,N
Mark McLemore,1986,2004,1832,7239,53,943,614,272,12.1 %,13.6 %,0.082,0.297,0.259,0.349,0.341,0.315,86,4.5,-120.6,49.9,17.4,1088,N
Benito Santiago,1986,2005,1978,7516,217,755,920,91,5.7 %,16.9 %,0.152,0.291,0.263,0.307,0.415,0.315,91,-16.6,-100.5,139.2,28.7,1130,N
Rafael Palmeiro,1986,2005,2831,12046,569,1663,1835,97,11.2 %,11.2 %,0.226,0.283,0.288,0.371,0.515,0.38,130,-11.2,442.8,-145.4,70,1266,N
Bobby Bonilla,1986,2001,2113,8257,287,1084,1173,45,11.0 %,14.6 %,0.193,0.296,0.279,0.358,0.472,0.36,123,-16,204.9,-161.8,32.7,1001168,N
Jerry Browne,1986,1995,982,3707,23,431,288,73,10.6 %,8.8 %,0.08,0.293,0.271,0.351,0.351,0.321,97,-4.8,-19.7,-2.4,10.3,1001525,N
Wally Joyner,1986,2001,2033,8115,204,973,1106,60,10.3 %,10.2 %,0.151,0.3,0.289,0.362,0.44,0.352,116,-5.8,154.9,-60.9,36.2,1006637,N
Ron Karkovice,1986,1997,939,2948,96,336,335,24,7.9 %,25.4 %,0.162,0.269,0.221,0.289,0.383,0.299,81,-1.4,-73.4,109.3,13.7,1006700,N
John Kruk,1986,1995,1200,4603,100,582,592,58,14.1 %,15.2 %,0.145,0.341,0.3,0.397,0.446,0.373,134,-2.3,178.1,-69.2,27,1007184,N
Dave Magadan,1986,2001,1582,4963,42,516,495,11,14.5 %,11.0 %,0.089,0.319,0.288,0.39,0.377,0.349,117,-3.7,97,-9.4,25.6,1007961,N
Terry Steinbach,1986,1999,1546,5905,162,638,745,23,7.1 %,15.9 %,0.149,0.299,0.271,0.326,0.42,0.329,101,-5.7,-0.7,80.3,28,1012473,N
Robby Thompson,1986,1996,1304,5235,119,671,458,103,8.4 %,18.9 %,0.146,0.303,0.257,0.329,0.403,0.33,108,-5.7,41.6,60.2,28.3,1013023,N
Matt Williams,1987,2003,1866,7595,378,997,1218,53,6.2 %,17.9 %,0.22,0.282,0.268,0.317,0.489,0.345,110,-6.6,88.6,109.9,44.8,77,N
B.J. Surhoff,1987,2005,2313,9106,188,1062,1153,141,7.0 %,9.2 %,0.132,0.291,0.282,0.332,0.413,0.326,96,-8.2,-48.1,59.1,31.4,117,N
Ellis Burks,1987,2004,2000,8177,352,1253,1206,181,9.7 %,16.4 %,0.219,0.313,0.291,0.363,0.51,0.379,125,1,262.1,-79.2,44.7,372,N
Ron Gant,1987,2003,1832,7320,321,1080,1008,243,10.5 %,19.3 %,0.212,0.279,0.256,0.336,0.468,0.351,112,5.9,115.4,-30.9,32.7,1032,N
Edgar Martinez,1987,2004,2055,8678,309,1219,1262,49,14.8 %,13.9 %,0.204,0.335,0.312,0.418,0.515,0.405,147,-21,500.5,-133.5,65.5,1086,N
Jeff Blauser,1987,1999,1407,5271,122,691,513,65,10.8 %,17.8 %,0.144,0.304,0.262,0.354,0.406,0.342,106,-4.5,31.9,-11.5,19.7,1001062,N
Mike Devereaux,1987,1998,1086,4102,105,491,480,86,7.2 %,15.5 %,0.147,0.278,0.254,0.308,0.401,0.316,93,-5.9,-47.3,36.5,13,1003242,N
Gregg Jefferies,1987,2000,1465,6072,126,761,663,196,7.8 %,5.7 %,0.133,0.288,0.289,0.344,0.421,0.338,107,12.1,57.4,-62.6,20.2,1006379,N
Lance Johnson,1987,2000,1447,5800,34,767,486,327,6.1 %,6.6 %,0.095,0.307,0.291,0.334,0.386,0.32,94,21.2,-18.3,97,26.4,1006482,N
Roberto Kelly,1987,2000,1337,5243,124,687,585,235,6.0 %,16.4 %,0.14,0.329,0.29,0.337,0.43,0.34,106,11.6,49.4,-48.4,18.1,1006815,N
Tom Pagnozzi,1987,1998,927,3142,44,247,320,18,6.0 %,14.3 %,0.106,0.284,0.253,0.299,0.359,0.291,77,-5.2,-90.8,94,10.6,1009960,N
Jody Reed,1987,1997,1284,5248,27,566,392,40,10.3 %,7.8 %,0.08,0.29,0.27,0.349,0.35,0.32,94,-11.4,-53.5,24.9,15,1010771,N
Mark Grace,1988,2003,2245,9290,173,1179,1146,70,11.6 %,6.9 %,0.139,0.309,0.303,0.383,0.442,0.364,120,-12.5,214.4,-62.7,45.5,56,N
Gary Sheffield,1988,2009,2576,10947,509,1636,1676,253,13.5 %,10.7 %,0.222,0.285,0.292,0.393,0.514,0.391,141,9.7,575.7,-300.9,62.1,114,N
Brady Anderson,1988,2002,1834,7737,210,1062,761,315,12.4 %,15.4 %,0.17,0.282,0.256,0.362,0.425,0.35,111,19.7,130.6,-58.6,32.6,364,N
Craig Biggio,1988,2007,2850,12504,291,1844,1175,414,9.3 %,14.0 %,0.152,0.311,0.281,0.363,0.433,0.352,115,38.3,276.9,-23,65.8,549,N
Charlie Hayes,1988,2001,1547,5766,144,580,740,47,7.3 %,15.9 %,0.136,0.291,0.262,0.316,0.398,0.316,88,-4,-89.8,19.7,12.2,1005525,N
Chris Sabo,1988,1996,911,3714,116,494,426,120,7.4 %,12.4 %,0.178,0.279,0.268,0.326,0.445,0.341,110,4.1,47.1,-4.1,17.3,1011357,N
Steve Finley,1989,2007,2583,10460,304,1443,1167,320,8.1 %,12.4 %,0.171,0.285,0.271,0.332,0.442,0.336,104,26.9,76.1,-8,40.4,54,N
Sammy Sosa,1989,2007,2354,9896,609,1475,1667,234,9.4 %,23.3 %,0.261,0.301,0.273,0.344,0.534,0.37,124,-7.9,300.4,-8.1,60.1,302,N
Omar Vizquel,1989,2012,2968,12013,80,1445,951,404,8.6 %,9.0 %,0.08,0.294,0.272,0.336,0.352,0.31,83,14.4,-234.2,263.8,42.6,411,N
Todd Zeile,1989,2004,2158,8649,253,986,1110,53,10.9 %,14.8 %,0.159,0.286,0.265,0.346,0.423,0.339,104,-17.9,28.5,-94.4,21.9,457,N
Marquis Grissom,1989,2005,2165,8959,227,1187,967,429,6.2 %,13.8 %,0.142,0.295,0.272,0.318,0.415,0.32,93,36.2,-53.1,18.8,26.4,652,N
Greg Vaughn,1989,2003,1731,7070,355,1017,1072,121,12.2 %,21.4 %,0.229,0.261,0.242,0.337,0.47,0.35,111,0.3,101.2,-75.7,25.5,1233,N
Juan Gonzalez,1989,2005,1689,7155,434,1061,1404,26,6.4 %,17.8 %,0.265,0.305,0.295,0.343,0.561,0.383,129,-7.5,256.8,-138.5,35.8,1251,N
Darrin Fletcher,1989,2001,1245,4271,124,377,583,2,6.0 %,9.3 %,0.154,0.269,0.269,0.318,0.423,0.321,90,-2.4,-52.7,38.8,12.5,1302,N
Albert Belle,1989,2000,1539,6676,381,974,1239,88,10.2 %,14.4 %,0.269,0.293,0.295,0.369,0.564,0.396,139,-0.3,339.6,-145.5,41,1000802,N
Chris Hoiles,1989,1998,894,3339,151,415,449,5,13.0 %,18.4 %,0.205,0.283,0.262,0.366,0.467,0.368,122,-2.1,89.2,46.8,24.8,1005935,N
Jeff King,1989,1999,1201,4812,154,600,709,75,9.2 %,12.1 %,0.169,0.261,0.256,0.324,0.425,0.329,98,1.4,-10.5,21.8,17,1006931,N
Luis Gonzalez,1990,2008,2591,10531,354,1412,1439,128,11.0 %,11.6 %,0.196,0.291,0.283,0.367,0.479,0.364,118,-19.4,229,-13.8,55.2,55,N
Mike Bordick,1990,2003,1720,6484,91,676,626,96,7.7 %,12.3 %,0.102,0.286,0.26,0.323,0.362,0.307,84,-9.4,-141.2,139.7,21.8,129,N
David Segui,1990,2003,1456,5451,139,683,684,17,9.6 %,12.6 %,0.151,0.313,0.291,0.359,0.443,0.35,110,-7.5,65.4,-125,11.7,169,N
Carlos Baerga,1990,2005,1630,5895,134,731,774,59,4.9 %,9.8 %,0.131,0.302,0.291,0.332,0.423,0.331,99,-2.8,-13,-28,15.7,175,N
Jose Offerman,1990,2009,1651,6582,57,840,537,172,11.7 %,13.9 %,0.1,0.315,0.273,0.36,0.373,0.33,97,-7.8,-28.1,-56.4,13.9,205,N
Moises Alou,1990,2008,1942,7913,332,1109,1287,106,9.3 %,11.3 %,0.212,0.306,0.303,0.369,0.516,0.378,129,-11.9,280,-51.5,47.7,261,N
Delino DeShields,1990,2002,1615,6652,80,872,561,463,11.3 %,16.0 %,0.109,0.314,0.268,0.352,0.377,0.329,101,32.3,35.5,-17.7,24,275,N
Travis Fryman,1990,2002,1698,7217,223,895,1022,72,8.3 %,19.0 %,0.169,0.313,0.274,0.336,0.443,0.342,103,-3.1,22.2,38,30.4,385,N
Ray Lankford,1990,2004,1701,6675,238,968,874,258,12.4 %,23.2 %,0.205,0.33,0.272,0.364,0.477,0.365,123,-0.2,189.8,-5,39.8,1044,N
Dave Hollins,1990,2002,983,3911,112,578,482,47,11.9 %,17.6 %,0.16,0.294,0.26,0.358,0.42,0.348,110,-2.1,39.5,-35.9,14.2,1391,N
Orlando Merced,1990,2003,1391,4532,103,564,585,57,10.7 %,14.6 %,0.149,0.308,0.277,0.355,0.426,0.343,107,1.7,38.9,-17.4,17.1,1393,N
Leo Gomez,1990,1995,611,2240,79,241,259,4,11.4 %,17.8 %,0.174,0.265,0.243,0.336,0.417,0.337,104,-3.7,8.2,24.1,10.6,1004822,N
Tim Naehring,1990,1997,547,2162,49,254,250,5,10.9 %,14.4 %,0.138,0.314,0.282,0.365,0.42,0.35,104,-2.4,11.4,34.9,11.8,1009433,N
Rey Sanchez,1991,2005,1490,5246,15,549,389,55,4.4 %,9.7 %,0.062,0.299,0.272,0.308,0.334,0.286,66,-1.2,-229.1,197,14.6,213,N
Chuck Knoblauch,1991,2002,1632,7387,98,1132,615,407,10.9 %,9.9 %,0.117,0.311,0.289,0.378,0.406,0.352,109,31.4,124.9,29.3,39.8,609,N
Eric Karros,1991,2004,1755,7100,284,797,1027,59,7.8 %,16.4 %,0.186,0.284,0.268,0.325,0.454,0.338,108,-8,61.9,-110.6,17.8,659,N
Mo Vaughn,1991,2003,1512,6410,328,861,1064,30,11.3 %,22.3 %,0.23,0.338,0.293,0.383,0.523,0.387,129,-7.2,238.9,-136.5,31.1,899,N
Reggie Sanders,1991,2007,1777,7043,305,1037,983,304,9.6 %,22.9 %,0.22,0.312,0.267,0.343,0.487,0.357,115,17.7,155,15.1,39.7,1129,N
Ivan Rodriguez,1991,2011,2543,10270,311,1354,1332,127,5.0 %,14.4 %,0.168,0.321,0.296,0.334,0.464,0.344,104,-24.9,37,317.1,68.9,1275,N
Tim Salmon,1992,2006,1672,7039,299,986,1016,48,13.8 %,19.3 %,0.216,0.317,0.282,0.385,0.498,0.383,130,-8.5,262.7,-139.9,35.4,32,N
Jose Valentin,1992,2008,1678,6317,249,872,816,136,10.0 %,20.5 %,0.204,0.272,0.243,0.321,0.448,0.33,94,9,-37.7,132.8,30.3,256,N
Damion Easley,1992,2007,1706,6211,163,735,684,114,8.2 %,15.1 %,0.151,0.276,0.253,0.329,0.404,0.324,92,0.3,-64.2,29.3,17.4,464,N
Brian Jordan,1992,2006,1456,5646,184,755,821,119,6.3 %,14.9 %,0.173,0.303,0.282,0.333,0.455,0.341,105,7.4,41.8,94.5,31.7,658,N
Mike Piazza,1992,2007,1912,7745,427,1048,1335,17,9.8 %,14.4 %,0.237,0.314,0.308,0.377,0.545,0.39,140,-31.6,370.1,32.7,63.7,893,N
Ryan Klesko,1992,2007,1736,6523,278,874,987,91,12.5 %,16.5 %,0.222,0.298,0.279,0.37,0.5,0.372,127,6.5,234.7,-135.6,30.1,1041,N
J.T. Snow,1992,2008,1716,6553,189,798,877,20,11.6 %,17.4 %,0.159,0.302,0.268,0.357,0.427,0.344,106,-8.3,39.8,-124.7,12.9,1133,N
John Valentin,1992,2002,1105,4511,124,614,558,47,10.3 %,11.6 %,0.175,0.293,0.279,0.36,0.454,0.358,110,-2.8,56.1,107.1,31.4,1375,N
Chad Curtis,1992,2001,1204,4650,101,648,461,212,11.0 %,14.5 %,0.132,0.292,0.264,0.349,0.396,0.334,98,0.6,-14.4,-27.4,11.5,1002898,N
John Jaha,1992,2000,826,3285,141,470,490,36,13.1 %,20.9 %,0.201,0.299,0.263,0.369,0.465,0.367,116,-0.2,73.6,-66.5,11.4,1006336,N
Manny Ramirez,1993,2014,2302,9774,555,1544,1831,38,13.6 %,18.5 %,0.273,0.338,0.312,0.411,0.585,0.418,153,-35,624.8,-276.6,66.4,210,N
Cliff Floyd,1993,2009,1621,6063,233,824,865,148,9.9 %,17.5 %,0.204,0.306,0.278,0.358,0.482,0.36,118,18.3,156.9,-103.4,24.7,518,N
Shawn Green,1993,2007,1951,7963,328,1129,1070,162,9.3 %,16.5 %,0.212,0.305,0.283,0.355,0.494,0.364,118,-5.3,184.5,-144.8,29.9,651,N
Rondell White,1993,2007,1474,5852,198,756,768,94,6.2 %,15.8 %,0.179,0.309,0.284,0.336,0.462,0.346,107,-2.4,53.5,-3.3,23.8,856,N
Jeromy Burnitz,1993,2005,1694,6580,315,917,981,74,11.2 %,20.9 %,0.228,0.279,0.253,0.345,0.481,0.354,110,-1.7,82.7,-44.3,25.1,867,N
Fernando Vina,1993,2004,1148,4742,40,627,343,116,6.1 %,6.2 %,0.097,0.294,0.282,0.348,0.379,0.326,92,-8.2,-55.2,23.4,12.4,1189,N
Carl Everett,1993,2006,1405,5395,202,707,792,107,8.2 %,18.9 %,0.19,0.304,0.271,0.341,0.462,0.346,107,-5.3,48.5,-46.8,17.5,1249,N
Carlos Delgado,1993,2010,2035,8657,473,1241,1512,14,12.8 %,20.2 %,0.266,0.303,0.28,0.383,0.546,0.391,135,-22.8,368.6,-209.1,44.2,1297,N
Garret Anderson,1994,2010,2228,9177,287,1084,1365,80,4.7 %,13.3 %,0.168,0.311,0.293,0.324,0.461,0.334,100,-7.2,-12.6,-59.6,24,2,N
Alex Gonzalez,1994,2007,1396,5528,137,623,536,97,7.1 %,21.1 %,0.148,0.289,0.243,0.302,0.391,0.304,78,-9.2,-166.3,90.4,11.3,281,N
Charles Johnson,1994,2005,1188,4386,167,465,570,6,10.8 %,22.7 %,0.188,0.286,0.245,0.33,0.433,0.332,97,-8.1,-25.6,145.3,25.7,523,N
Mike Lieberthal,1994,2006,1212,4695,150,534,610,8,7.1 %,12.2 %,0.172,0.284,0.274,0.337,0.446,0.339,100,-18.2,-15,67.8,20,959,N
Rusty Greer,1994,2002,1027,4424,119,643,615,31,11.7 %,12.5 %,0.174,0.327,0.305,0.387,0.478,0.378,120,-0.8,117.8,-82.4,18.2,1252,N
Tony Clark,1995,2009,1559,5120,251,629,824,6,10.3 %,23.6 %,0.222,0.301,0.262,0.339,0.485,0.352,109,-15.4,42.5,-94,12.1,182,N
Johnny Damon,1995,2012,2490,10917,235,1668,1139,408,9.2 %,11.5 %,0.148,0.305,0.284,0.352,0.433,0.344,105,75.1,146,-70.3,44.5,185,N
Bobby Higginson,1995,2004,1362,5664,187,736,709,91,11.5 %,14.1 %,0.183,0.289,0.272,0.358,0.455,0.354,111,-4.2,81.5,-93.2,17.8,469,N
Joe Randa,1995,2006,1522,6007,123,697,739,42,7.2 %,12.3 %,0.141,0.306,0.284,0.339,0.426,0.334,94,-5.2,-48.9,49.3,20.2,623,N
Mark Grudzielanek,1995,2010,1802,7603,90,946,640,133,4.8 %,12.5 %,0.104,0.322,0.289,0.332,0.393,0.32,91,4.1,-80,69.4,23.2,653,N
Jason Giambi,1995,2014,2260,8908,440,1227,1441,20,15.3 %,17.6 %,0.24,0.294,0.277,0.399,0.516,0.394,140,-23.4,430.2,-223.9,49.7,818,N
Edgardo Alfonzo,1995,2008,1506,6108,146,777,744,53,9.8 %,10.1 %,0.14,0.296,0.284,0.357,0.425,0.344,107,2.8,63,48.7,30.1,859,N
Brian Giles,1995,2009,1847,7836,287,1121,1078,109,15.1 %,10.7 %,0.212,0.294,0.291,0.4,0.502,0.388,136,17.9,384.8,-80.8,54.9,990,N
Rich Aurilia,1995,2009,1652,6278,186,745,756,23,7.2 %,13.7 %,0.158,0.294,0.275,0.328,0.433,0.331,98,-10.9,-23.3,83.5,25.9,1106,N
Shannon Stewart,1995,2008,1386,6205,115,853,580,196,8.1 %,11.0 %,0.133,0.32,0.297,0.36,0.43,0.347,107,6.5,65.2,-59.3,21.4,1322,N
Quilvio Veras,1995,2001,767,3293,32,469,239,183,13.0 %,14.0 %,0.092,0.311,0.27,0.372,0.362,0.336,103,-0.4,11.4,9.8,12.3,1013404,N
Andruw Jones,1996,2012,2196,8664,434,1204,1289,152,10.3 %,20.2 %,0.231,0.273,0.254,0.337,0.486,0.352,111,-5.3,116.3,281.3,67.1,96,N
Tony Batista,1996,2007,1309,4964,221,625,719,47,5.8 %,15.9 %,0.202,0.256,0.251,0.299,0.453,0.32,89,-12.9,-80.2,33,12,124,N
Nomar Garciaparra,1996,2009,1434,6116,229,927,936,95,6.6 %,9.1 %,0.208,0.312,0.313,0.361,0.521,0.376,124,4.8,199.9,18.8,41.4,190,N
Trot Nixon,1996,2008,1092,4224,137,579,555,30,11.9 %,16.3 %,0.19,0.301,0.274,0.364,0.464,0.359,115,0,77.8,4.4,22.4,204,N
Luis Castillo,1996,2010,1720,7471,28,1001,443,370,10.7 %,11.4 %,0.061,0.329,0.29,0.368,0.351,0.327,97,33.4,7.1,37.9,28.4,513,N
Vladimir Guerrero,1996,2012,2147,9059,449,1328,1496,181,8.1 %,10.9 %,0.235,0.316,0.318,0.379,0.553,0.39,136,-49.8,370.2,-115,54.3,778,N
Bobby Abreu,1996,2014,2425,10081,288,1453,1363,400,14.6 %,18.3 %,0.183,0.339,0.291,0.395,0.475,0.378,129,33.8,415.5,-143.4,59.2,945,N
Jason Kendall,1996,2012,2085,8702,75,1030,744,189,8.3 %,7.9 %,0.09,0.306,0.288,0.366,0.378,0.334,99,0.7,-6.8,127.8,39.5,993,N
Edgar Renteria,1996,2011,2152,9066,140,1200,923,294,7.9 %,13.0 %,0.112,0.317,0.286,0.343,0.398,0.327,95,15.5,-36.7,99.7,35.2,1178,N
Jason Varitek,1997,2011,1546,5839,193,664,757,25,10.5 %,20.8 %,0.179,0.298,0.256,0.341,0.435,0.337,99,-22.8,-27.5,75,24.3,217,N
Todd Helton,1997,2013,2247,9453,369,1401,1406,37,14.1 %,12.4 %,0.223,0.33,0.316,0.414,0.539,0.405,132,-35.5,354.1,-99.8,54.8,432,N
Richard Hidalgo,1997,2005,987,3929,171,531,560,48,9.1 %,18.8 %,0.221,0.292,0.269,0.345,0.49,0.357,111,-12.9,47.2,42.6,21.2,561,N
Jose Vidro,1997,2007,1418,5708,128,720,654,23,8.4 %,9.7 %,0.146,0.312,0.298,0.359,0.445,0.35,108,-11.9,50.6,-71.6,16.2,802,N
Miguel Tejada,1997,2015,2171,9205,307,1230,1302,85,6.0 %,11.7 %,0.17,0.295,0.285,0.336,0.456,0.341,106,-26.3,50,43.7,39.7,941,N
Mark Kotsay,1997,2013,1914,7110,127,790,720,98,7.8 %,10.6 %,0.128,0.294,0.276,0.332,0.404,0.322,95,-14.3,-57.8,28.4,20.2,1042,N
Jose Cruz,1997,2008,1388,5448,204,713,624,113,12.1 %,21.1 %,0.198,0.282,0.247,0.337,0.445,0.339,101,11.8,20.8,-6.8,19.5,1296,N
Mike Lowell,1998,2010,1601,6500,223,771,952,30,8.4 %,12.6 %,0.185,0.287,0.279,0.342,0.464,0.346,108,-39.7,25.8,22.7,26,527,N
Paul Lo Duca,1998,2010,1082,4302,80,483,481,20,6.2 %,6.9 %,0.123,0.29,0.286,0.337,0.409,0.325,97,-37.2,-51.2,72.6,16,662,N
Ronnie Belliard,1998,2011,1484,5641,114,685,601,43,8.7 %,14.1 %,0.142,0.303,0.273,0.338,0.415,0.33,96,1.4,-29,23,17.7,677,N
Corey Koskie,1998,2006,989,3950,124,516,506,71,11.6 %,20.1 %,0.183,0.323,0.275,0.367,0.458,0.357,113,-4.5,62.9,73.8,26.7,738,N
Eric Chavez,1998,2014,1615,6228,260,816,902,50,10.3 %,17.3 %,0.208,0.287,0.268,0.342,0.475,0.349,113,1.7,99.8,47,35.4,906,N
